Chelating agent (C),Catalyst mix (D),Chelating catalyst mix ratio (C/D),Calcination temperature (oC),Fe (A),W (B) wt%
3.75,6.25,0.6,655,47,53
9.51,0.49,19.41,497,19,81
7.32,2.68,2.73,622,7,93
5.99,4.01,1.49,380,6,94
1.56,8.44,0.18,339,66,34
1.56,8.44,0.18,374,16,84
0.58,9.42,0.06,534,32,68
8.66,1.34,6.46,526,47,53
6.01,3.99,1.51,432,75,25
7.08,2.92,2.42,782,58,42
0.21,9.79,0.02,777,85,15
9.7,0.3,32.33,408,21,79
8.32,1.68,4.95,508,29,71
2.12,7.88,0.27,605,37,63
1.82,8.18,0.22,560,50,50
1.83,8.17,0.22,798,53,47
3.04,6.96,0.44,467,7,93
5.25,4.75,1.11,374,26,74
4.32,5.68,0.76,383,26,74
2.91,7.09,0.41,523,97,3
6.12,3.88,1.58,757,20,80
1.39,8.61,0.16,621,29,71
2.92,7.08,0.41,382,96,4
3.66,6.34,0.58,262,27,73
4.56,5.44,0.84,646,63,37
7.85,2.15,3.65,591,96,4
2.0,8.0,0.25,713,68,32
5.14,4.86,1.06,417,60,40
5.92,4.08,1.45,659,47,53
0.46,9.54,0.05,535,18,82
6.08,3.92,1.55,536,3,97
1.71,8.29,0.21,262,34,66
0.65,9.35,0.07,762,63,37
9.49,0.51,18.61,774,48,52
9.66,0.34,28.41,230,16,84
8.08,1.92,4.21,262,43,57
3.05,6.95,0.44,151,91,9
0.98,9.02,0.11,791,29,71
6.84,3.16,2.16,369,92,8
4.4,5.6,0.79,715,45,55
1.22,8.78,0.14,374,5,95
4.95,5.05,0.98,534,98,2
0.34,9.66,0.04,552,36,64
9.09,0.91,9.99,787,23,77
2.59,7.41,0.35,279,92,8
6.63,3.37,1.97,202,45,55
3.12,6.88,0.45,565,52,48
5.2,4.8,1.08,396,94,6
5.47,4.53,1.21,588,98,2
1.85,8.15,0.23,352,59,41
9.7,0.3,32.33,333,96,4
7.75,2.25,3.44,272,62,38
9.39,0.61,15.39,550,84,16
8.95,1.05,8.52,443,31,69
5.98,4.02,1.49,429,86,14
9.22,0.78,11.82,759,32,68
0.88,9.12,0.1,347,66,34
1.96,8.04,0.24,660,17,83
0.45,9.55,0.05,293,24,76
3.25,6.75,0.48,758,94,6
3.89,6.11,0.64,350,53,47
2.71,7.29,0.37,273,57,43
8.29,1.71,4.85,336,66,34
3.57,6.43,0.56,475,45,55
2.81,7.19,0.39,613,23,77
5.43,4.57,1.19,498,31,69
1.41,8.59,0.16,552,46,54
8.02,1.98,4.05,495,85,15
0.75,9.25,0.08,660,22,78
9.87,0.13,75.92,296,65,35
7.72,2.28,3.39,297,26,74
1.99,8.01,0.25,638,1,99
0.06,9.94,0.01,789,89,11
8.15,1.85,4.41,700,16,84
7.07,2.93,2.41,487,32,68
7.29,2.71,2.69,790,8,92
7.71,2.29,3.37,622,42,58
0.74,9.26,0.08,300,47,53
3.58,6.42,0.56,564,38,62
1.16,8.84,0.13,447,92,8
8.63,1.37,6.3,760,41,59
6.23,3.77,1.65,412,25,75
3.31,6.69,0.49,293,98,2
0.64,9.36,0.07,495,49,51
3.11,6.89,0.45,773,24,76
3.25,6.75,0.48,721,23,77
7.3,2.7,2.7,151,12,88
6.38,3.62,1.76,453,59,41
8.87,1.13,7.85,403,6,94
4.72,5.28,0.89,602,56,44
1.2,8.8,0.14,186,35,65
7.13,2.87,2.48,309,44,56
7.61,2.39,3.18,158,19,81
5.61,4.39,1.28,382,64,36
7.71,2.29,3.37,248,7,93
4.94,5.06,0.98,357,15,85
5.23,4.77,1.1,280,13,87
4.28,5.72,0.75,553,75,25
0.25,9.75,0.03,301,86,14
1.08,8.92,0.12,203,14,86
0.31,9.69,0.03,269,91,9
6.36,3.64,1.75,777,97,3
3.14,6.86,0.46,736,65,35
5.09,4.91,1.04,774,31,69
9.08,0.92,9.87,569,86,14
2.49,7.51,0.33,571,62,38
4.1,5.9,0.69,253,85,15
7.56,2.44,3.1,403,50,50
2.29,7.71,0.3,376,24,76
0.77,9.23,0.08,261,57,43
2.9,7.1,0.41,659,62,38
1.61,8.39,0.19,622,61,39
9.3,0.7,13.29,248,21,79
8.08,1.92,4.21,302,57,43
6.33,3.67,1.72,487,57,43
8.71,1.29,6.75,312,85,15
8.04,1.96,4.1,310,48,52
1.87,8.13,0.23,729,51,49
8.93,1.07,8.35,547,41,59
5.39,4.61,1.17,426,69,31
